ActivityID,FileName,SportType,StartDate,StartTime,TotalTime,TotalDistance,TotalCalories
1,20160529_182949.tcx,Running,2016-05-29,18:29:49,1460,3683.95,419
2,20160530_181938.tcx,Running,2016-05-30,18:19:38,1680,4169.46,475
3,20160531_184646.tcx,Running,2016-05-31,18:46:46,1489,3890.36,441
4,20160601_174610.tcx,Running,2016-06-01,17:46:10,1401,3796.07,428
5,20160602_191421.tcx,Running,2016-06-02,19:14:21,1506,3880.34,440
6,20160602_194100.tcx,Other,2016-06-02,19:41:00,423,616.67,54
7,20160603_192211.tcx,Running,2016-06-03,19:22:11,1404,3550.32,403
8,20160603_194718.tcx,Other,2016-06-03,19:47:18,2205,3454.28,325
9,20160605_151602.tcx,Other,2016-06-05,15:16:02,4705,8024.1,806
10,20160607_171715.tcx,Other,2016-06-07,17:17:15,2827,9139.05,978
11,20160608_192003.tcx,Running,2016-06-08,19:20:03,2097,5448.74,618
12,20160611_185330.tcx,Running,2016-06-11,18:53:30,1377,3632.73,411
13,20160614_182814.tcx,Running,2016-06-14,18:28:14,1591,4147.68,470
14,20160618_135255.tcx,Other,2016-06-18,13:52:55,128,413.99,44
15,20160618_144847.tcx,Other,2016-06-18,14:48:47,1118,1878.32,187
16,20160618_185119.tcx,Running,2016-06-18,18:51:19,2526,6476.54,735
17,20160619_124900.tcx,Other,2016-06-19,12:49:00,1273,2011.08,191
18,20160619_183142.tcx,Running,2016-06-19,18:31:42,1594,4065.73,462
19,20160623_175512.tcx,Other,2016-06-23,17:55:12,2006,2137.69,191
20,20160628_194628.tcx,Running,2016-06-28,19:46:28,1532,4059.19,459
21,20160629_190047.tcx,Other,2016-06-29,19:00:47,2249,3049.61,249
22,20160701_192234.tcx,Running,2016-07-01,19:22:34,2383,6200.11,703
23,20160702_075357.tcx,Other,2016-07-02,07:53:57,5761,7799.56,637
24,20160702_185605.tcx,Running,2016-07-02,18:56:05,802,2173.17,245
25,20160702_191008.tcx,Other,2016-07-02,19:10:08,1001,1592.86,152
26,20160707_174734.tcx,Other,2016-07-07,17:47:34,6629,12209.93,1288
27,20160709_131633.tcx,Other,2016-07-09,13:16:33,2102,2104.75,193
28,20160709_160234.tcx,Biking,2016-07-09,16:02:34,8346,31474.98,1351
29,20160710_150426.tcx,Other,2016-07-10,15:04:26,6612,10442.05,797
30,20160712_194324.tcx,Running,2016-07-12,19:43:24,1604,4105.2,466
31,20160713_191843.tcx,Running,2016-07-13,19:18:43,1190,3150.31,357
32,20160715_180305.tcx,Running,2016-07-15,18:03:05,1257,3321.26,376
33,20160728_165150.tcx,Other,2016-07-28,16:51:50,2643,3680.09,310
34,20160803_013347.tcx,Other,2016-08-03,01:33:47,3518,4245.77,358
35,20160804_151506.tcx,Other,2016-08-04,15:15:06,1621,2776.86,280
36,20160806_004346.tcx,Other,2016-08-06,00:43:46,2270,4336.95,466
37,20160829_191848.tcx,Running,2016-08-29,19:18:48,1651,4212.26,478
38,20160903_174842.tcx,Other,2016-09-03,17:48:42,2092,3075.82,273
39,20160911_123127.tcx,Running,2016-09-11,12:31:27,1749,4529.65,514
40,20160915_161058.tcx,Other,2016-09-15,16:10:58,6732,6841.76,623
41,20160925_153627.tcx,Other,2016-09-25,15:36:27,4463,7479.15,742
42,20160927_152425.tcx,Other,2016-09-27,15:24:25,1948,3247.35,321
43,20160927_162915.tcx,Other,2016-09-27,16:29:15,4920,7695.45,723
44,20161001_115428.tcx,Other,2016-10-01,11:54:28,5177,9034.83,923
45,20161001_143124.tcx,Other,2016-10-01,14:31:24,1674,2807.46,279
46,20161002_111740.tcx,Other,2016-10-02,11:17:40,8675,12518.76,1093
47,20170310_134816.tcx,Other,2017-03-10,13:48:16,2766,4592.45,384
48,20170424_141456.tcx,Other,2017-04-24,14:14:56,1157,2087.32,185
49,20170501_105845.tcx,Running,2017-05-01,10:58:45,633,1901.85,177
50,20170501_111333.tcx,Other,2017-05-01,11:13:33,1170,1254.47,95
51,20170502_184925.tcx,Running,2017-05-02,18:49:25,794,2236.02,212
52,20170502_190257.tcx,Other,2017-05-02,19:02:57,958,1538.62,125
53,20170503_184515.tcx,Running,2017-05-03,18:45:15,855,2459.02,232
54,20170503_185951.tcx,Other,2017-05-03,18:59:51,855,1317.3,104
55,20170505_185117.tcx,Running,2017-05-05,18:51:17,1131,3026.76,290
56,20170505_191051.tcx,Other,2017-05-05,19:10:51,594,911.62,72
57,20170512_132446.tcx,Other,2017-05-12,13:24:46,312,473.89,37
58,20170528_170436.tcx,Running,2017-05-28,17:04:36,1889,5081.76,487
59,20170528_173622.tcx,Other,2017-05-28,17:36:22,611,1028.91,87
60,20170529_162646.tcx,Running,2017-05-29,16:26:46,1939,5033.8,484
61,20170529_165916.tcx,Other,2017-05-29,16:59:16,477,768.47,63
62,20170530_180341.tcx,Running,2017-05-30,18:03:41,1423,3610.38,348
63,20170530_182737.tcx,Other,2017-05-30,18:27:37,673,1016.22,79
64,20170531_172050.tcx,Other,2017-05-31,17:20:50,2826,2759.25,217
65,20170604_075826.tcx,Running,2017-06-04,07:58:26,1462,4414.99,411
66,20170605_160001.tcx,Running,2017-06-05,16:00:01,763,2014.3,193
67,20170605_162622.tcx,Other,2017-06-05,16:26:22,3707,4790.06,333
68,20170606_100738.tcx,Other,2017-06-06,10:07:38,1232,1539.32,109
69,20170609_151426.tcx,Other,2017-06-09,15:14:26,4040,4256.09,323
70,20170610_161342.tcx,Other,2017-06-10,16:13:42,4775,3868.81,332
71,20170610_180024.tcx,Running,2017-06-10,18:00:24,2292,6027.1,579
72,20170611_161236.tcx,Other,2017-06-11,16:12:36,4645,5775.3,408
73,20170611_182653.tcx,Running,2017-06-11,18:26:53,1120,3021.17,289
74,20170611_184553.tcx,Other,2017-06-11,18:45:53,523,804.04,63
75,20170614_162916.tcx,Other,2017-06-14,16:29:16,2339,2795.6,201
76,20170614_191103.tcx,Running,2017-06-14,19:11:03,2260,6028.23,578
77,20170615_181705.tcx,Running,2017-06-15,18:17:05,2610,7039.08,674
78,20170618_122339.tcx,Other,2017-06-18,12:23:39,2571,2229.32,186
79,20170618_170637.tcx,Running,2017-06-18,17:06:37,2742,7430.73,711
80,20170618_175258.tcx,Other,2017-06-18,17:52:58,633,945.52,72
81,20170620_174652.tcx,Running,2017-06-20,17:46:52,1866,5003.35,480
82,20170623_164709.tcx,Other,2017-06-23,16:47:09,5111,4897.03,389
83,20170623_191443.tcx,Running,2017-06-23,19:14:43,1838,5034.37,480
84,20170624_173722.tcx,Other,2017-06-24,17:37:22,3142,4307.5,303
85,20170625_151555.tcx,Running,2017-06-25,15:15:55,1734,5033.28,473
86,20170625_154531.tcx,Other,2017-06-25,15:45:31,645,1030.73,84
87,20170625_155646.tcx,Running,2017-06-25,15:56:46,1111,3022.25,289
88,20170626_135924.tcx,Other,2017-06-26,13:59:24,1335,2367.26,207
89,20170626_150324.tcx,Other,2017-06-26,15:03:24,3549,3325.32,267
90,20170627_133547.tcx,Running,2017-06-27,13:35:47,1900,5051.14,485
91,20170630_172529.tcx,Running,2017-06-30,17:25:29,3667,10045.49,958
92,20170705_162949.tcx,Running,2017-07-05,16:29:49,1873,5036.91,483
93,20170706_184127.tcx,Running,2017-07-06,18:41:27,2021,5128.15,494
94,20170707_171207.tcx,Biking,2017-07-07,17:12:07,4218,18045.44,655
95,20170709_102229.tcx,Running,2017-07-09,10:22:29,2362,6098.54,587
96,20170709_110641.tcx,Other,2017-07-09,11:06:41,1935,3191.9,265
97,20170709_145003.tcx,Biking,2017-07-09,14:50:03,1161,4650.18,169
98,20170719_174632.tcx,Running,2017-07-19,17:46:32,4003,10041.18,969
99,20170721_165112.tcx,Running,2017-07-21,16:51:12,1953,5030.46,484
100,20170722_170739.tcx,Running,2017-07-22,17:07:39,3230,8461.91,813
101,20170723_183435.tcx,Running,2017-07-23,18:34:35,2032,5285.74,508
102,20170724_174144.tcx,Running,2017-07-24,17:41:44,2308,6034.4,580
103,20170726_183740.tcx,Running,2017-07-26,18:37:40,2894,8106.73,769
104,20170727_180955.tcx,Running,2017-07-27,18:09:55,1894,5106.27,489
105,20170728_174330.tcx,Running,2017-07-28,17:43:30,1826,5053.48,481
106,20170729_171137.tcx,Running,2017-07-29,17:11:37,2990,8026.38,770
107,20170730_172046.tcx,Running,2017-07-30,17:20:46,2008,5510.57,525
108,20170731_174725.tcx,Running,2017-07-31,17:47:25,1932,5415.46,513
109,20170801_085422.tcx,Other,2017-08-01,08:54:22,2194,3265.07,249
110,20170801_175818.tcx,Running,2017-08-01,17:58:18,2242,6084.82,582
111,20170802_180619.tcx,Running,2017-08-02,18:06:19,3506,10004.37,944
112,20170804_170449.tcx,Running,2017-08-04,17:04:49,3186,9055.97,856
113,20170806_173645.tcx,Running,2017-08-06,17:36:45,3096,9046.62,849
114,20170807_174945.tcx,Running,2017-08-07,17:49:45,2873,8160.72,771
115,20170808_145544.tcx,Other,2017-08-08,14:55:44,5269,4391.31,372
116,20170809_153304.tcx,Other,2017-08-09,15:33:04,3396,3445.64,266
117,20170809_171358.tcx,Running,2017-08-09,17:13:58,3369,9150.59,875
118,20170811_163823.tcx,Other,2017-08-11,16:38:23,4348,3880.62,319
119,20170811_181744.tcx,Running,2017-08-11,18:17:44,3629,10017.69,954
120,20170813_172257.tcx,Running,2017-08-13,17:22:57,3522,10090.21,951
121,20170814_145426.tcx,Other,2017-08-14,14:54:26,4599,4446.14,352
122,20170814_170742.tcx,Running,2017-08-14,17:07:42,3170,9021.82,852
123,20170815_094127.tcx,Other,2017-08-15,09:41:27,3001,2530.82,213
124,20170815_165736.tcx,Running,2017-08-15,16:57:36,2475,7030.24,664
125,20170817_171951.tcx,Running,2017-08-17,17:19:51,3200,9065.11,857
126,20170818_163310.tcx,Other,2017-08-18,16:33:10,3700,3734.79,289
127,20170818_182726.tcx,Running,2017-08-18,18:27:26,2138,6033.51,571
128,20170820_141502.tcx,Other,2017-08-20,14:15:02,3380,3576.25,258
129,20170821_165052.tcx,Running,2017-08-21,16:50:52,3543,10580.18,939
130,20170822_140114.tcx,Other,2017-08-22,14:01:14,2694,4709.69,389
131,20170822_161743.tcx,Other,2017-08-22,16:17:43,4716,4034.44,322
132,20170823_160759.tcx,Other,2017-08-23,16:07:59,4524,4014.97,315
133,20170824_163859.tcx,Running,2017-08-24,16:38:59,3558,10093.1,907
134,20170825_171555.tcx,Other,2017-08-25,17:15:55,2773,2985.06,214
135,20170826_163329.tcx,Running,2017-08-26,16:33:29,3603,10050.99,907
136,20170828_171157.tcx,Running,2017-08-28,17:11:57,2882,8282.31,742
137,20170829_171826.tcx,Other,2017-08-29,17:18:26,3337,3360.48,248
138,20170901_141013.tcx,Other,2017-09-01,14:10:13,2451,1782.62,153
139,20170902_082100.tcx,Other,2017-09-02,08:21:00,2185,2340.62,168
140,20170902_144609.tcx,Running,2017-09-02,14:46:09,3181,9026.49,811
141,20170904_133650.tcx,Other,2017-09-04,13:36:50,2813,4808.35,390
142,20170905_134100.tcx,Other,2017-09-05,13:41:00,2564,4734.63,403
143,20170907_161031.tcx,Running,2017-09-07,16:10:31,2217,6459.04,577
144,20170910_110013.tcx,Running,2017-09-10,11:00:13,3323,10180.03,898
145,20170911_150203.tcx,Other,2017-09-11,15:02:03,5384,5622.32,408
146,20170915_144655.tcx,Other,2017-09-15,14:46:55,5546,5759.99,419
147,20170916_103840.tcx,Other,2017-09-16,10:38:40,5879,6218.43,449
148,20170925_140046.tcx,Other,2017-09-25,14:00:46,2845,5097.5,428
149,20170927_135038.tcx,Other,2017-09-27,13:50:38,3028,5172.16,420
150,20170929_142354.tcx,Other,2017-09-29,14:23:54,2756,2939.82,211
151,20180502_100549.tcx,Other,2018-05-02,10:05:49,2482,2795.55,197
152,20180502_141829.tcx,Other,2018-05-02,14:18:29,4799,4965.52,363
153,20180503_114532.tcx,Other,2018-05-03,11:45:32,824,1117.75,74
154,20180503_170126.tcx,Other,2018-05-03,17:01:26,2327,3048.27,201
155,20180504_143604.tcx,Other,2018-05-04,14:36:04,4903,2926.4,279
156,20180506_134809.tcx,Other,2018-05-06,13:48:09,2223,1980.11,156
157,20180508_094721.tcx,Other,2018-05-08,09:47:21,2851,2734.7,207
158,20180510_131636.tcx,Other,2018-05-10,13:16:36,2454,3151.14,210
159,20180511_093126.tcx,Other,2018-05-11,09:31:26,1074,1090.54,80
160,20180516_075448.tcx,Other,2018-05-16,07:54:48,3944,4800.41,327
161,20180516_165849.tcx,Other,2018-05-16,16:58:49,3386,3175.15,243
162,20180522_103649.tcx,Other,2018-05-22,10:36:49,5714,6493.32,455
163,20180524_094338.tcx,Other,2018-05-24,09:43:38,1057,1471.28,100
164,20180525_093432.tcx,Other,2018-05-25,09:34:32,3399,5004.88,361
165,20180526_130205.tcx,Other,2018-05-26,13:02:05,3473,3187.62,247
166,20180527_112210.tcx,Other,2018-05-27,11:22:10,514,501.41,38
167,20180527_115635.tcx,Other,2018-05-27,11:56:35,3893,4539.58,315
168,20180531_140240.tcx,Other,2018-05-31,14:02:40,6761,6382.43,488
169,20180601_073707.tcx,Other,2018-06-01,07:37:07,5130,7277.82,506
170,20180609_140847.tcx,Other,2018-06-09,14:08:47,5631,8176.2,581
171,20180612_073327.tcx,Other,2018-06-12,07:33:27,8301,8801.91,637
172,20180615_125303.tcx,Other,2018-06-15,12:53:03,15518,8230.31,836
173,20180617_132956.tcx,Other,2018-06-17,13:29:56,5910,7816.75,514
174,20180618_072531.tcx,Other,2018-06-18,07:25:31,4962,7426.83,543
175,20180619_132002.tcx,Other,2018-06-19,13:20:02,5038,6429.7,429
176,20180620_114507.tcx,Other,2018-06-20,11:45:07,9125,11599.2,775
177,20180622_115349.tcx,Other,2018-06-22,11:53:49,8268,8078.74,607
178,20180627_095220.tcx,Other,2018-06-27,09:52:20,5312,7499.38,518
179,20180628_073519.tcx,Other,2018-06-28,07:35:19,5891,7315.25,494
180,20180628_122128.tcx,Other,2018-06-28,12:21:28,5662,8688.31,650
181,20180701_092012.tcx,Other,2018-07-01,09:20:12,4002,5843.1,418
182,20180706_111545.tcx,Other,2018-07-06,11:15:45,8566,9800.84,685
183,20180715_135622.tcx,Other,2018-07-15,13:56:22,4465,5590.97,376
184,20180715_173053.tcx,Running,2018-07-15,17:30:53,1409,3268.25,303
185,20180717_181805.tcx,Running,2018-07-17,18:18:05,1010,2704.82,248
186,20180718_180437.tcx,Other,2018-07-18,18:04:37,4383,3332.36,281
187,20180719_141806.tcx,Other,2018-07-19,14:18:06,2313,3949.0,322
188,20180719_170310.tcx,Running,2018-07-19,17:03:10,1337,3500.25,321
189,20180720_130829.tcx,Other,2018-07-20,13:08:29,3951,5133.71,340
190,20180722_174318.tcx,Running,2018-07-22,17:43:18,962,2688.45,243
191,20180725_181033.tcx,Running,2018-07-25,18:10:33,1165,3066.88,281
192,20180730_134319.tcx,Other,2018-07-30,13:43:19,6349,4833.04,408
193,20180805_180627.tcx,Running,2018-08-05,18:06:27,1500,4034.62,369
194,20180808_182039.tcx,Running,2018-08-08,18:20:39,1527,4057.23,372
195,20180812_072235.tcx,Running,2018-08-12,07:22:35,1840,5045.06,459
196,20180815_152215.tcx,Running,2018-08-15,15:22:15,875,2110.18,195
197,20180815_154206.tcx,Other,2018-08-15,15:42:06,1474,2215.84,163
198,20180816_140124.tcx,Other,2018-08-16,14:01:24,2447,4318.23,360
199,20180817_123401.tcx,Other,2018-08-17,12:34:01,2677,4691.66,389
200,20180817_174520.tcx,Running,2018-08-17,17:45:20,2035,5361.84,492
201,20180817_181947.tcx,Other,2018-08-17,18:19:47,1543,2578.33,207
202,20180819_174219.tcx,Running,2018-08-19,17:42:19,2208,6003.99,548
203,20180820_134310.tcx,Other,2018-08-20,13:43:10,2914,4584.89,350
204,20180821_174951.tcx,Running,2018-08-21,17:49:51,2542,6546.42,601
205,20180822_133735.tcx,Other,2018-08-22,13:37:35,2433,4146.91,337
206,20180824_131005.tcx,Other,2018-08-24,13:10:05,2471,4134.27,332
207,20180824_165456.tcx,Running,2018-08-24,16:54:56,2030,5121.74,471
208,20180830_174409.tcx,Running,2018-08-30,17:44:09,2255,5850.71,537
209,20180907_155348.tcx,Running,2018-09-07,15:53:48,1742,4341.38,400
210,20180908_122256.tcx,Other,2018-09-08,12:22:56,3977,5616.93,389
211,20180909_122917.tcx,Running,2018-09-09,12:29:17,1485,4314.2,387
212,20180919_161625.tcx,Other,2018-09-19,16:16:25,868,1243.66,87
213,20181107_170906.tcx,Other,2018-11-07,17:09:06,1772,3197.87,270
214,20181123_131759.tcx,Other,2018-11-23,13:17:59,2706,4637.13,379
215,20181204_192651.tcx,Other,2018-12-04,19:26:51,2874,5368.45,463
216,20181205_201301.tcx,Other,2018-12-05,20:13:01,2740,4941.37,419
217,20181221_135755.tcx,Other,2018-12-21,13:57:55,1719,3127.53,266
